Month,Element,Amount in USD,Year,Day,
January,Albayrak Share,24773.03,2018,1,
January,Albayrak Share,261634.72,2018,2,
January,Albayrak Share,86198.36,2018,3,
January,Albayrak Share,149210.5,2018,4,
January,Albayrak Share,18378,2018,6,
January,Albayrak Share,60674.63,2018,7,
January,Albayrak Share,11306.7,2018,8,
January,Albayrak Share,97596.59,2018,9,
January,Albayrak Share,194876.21,2018,10,
January,Albayrak Share,9243,2018,11,
January,Albayrak Share,9989.1,2018,13,
January,Albayrak Share,11007.9,2018,14,
January,Albayrak Share,60622.65,2018,15,
January,Albayrak Share,11439.9,2018,16,
January,Albayrak Share,27192.15,2018,17,
January,Albayrak Share,142614.59,2018,18,
January,Albayrak Share,150300.8,2018,20,
January,Albayrak Share,19776.6,2018,21,
January,Albayrak Share,15396.75,2018,22,
January,Albayrak Share,20665.32,2018,23,
January,Albayrak Share,291115.36,2018,24,
January,Albayrak Share,28717.2,2018,25,
January,Albayrak Share,19711.78,2018,27,
January,Albayrak Share,10536.75,2018,28,
January,Albayrak Share,8103.6,2018,29,
January,Albayrak Share,13350.6,2018,30,
January,Albayrak Share,24079.29,2018,31,
February,Albayrak Share,128799.42,2018,1,
February,Albayrak Share,255760.25,2018,3,
February,Albayrak Share,258457.74,2018,4,
February,Albayrak Share,11081.7,2018,5,
February,Albayrak Share,13991.4,2018,6,
February,Albayrak Share,263133.49,2018,7,
February,Albayrak Share,8260.2,2018,8,
February,Albayrak Share,9753.75,2018,10,
February,Albayrak Share,10912.5,2018,11,
February,Albayrak Share,7126.2,2018,12,
February,Albayrak Share,127102.61,2018,13,
February,Albayrak Share,14804.1,2018,14,
February,Albayrak Share,40123.8,2018,15,
February,Albayrak Share,23360.85,2018,17,
February,Albayrak Share,13814.55,2018,18,
February,Albayrak Share,308813.47,2018,19,
February,Albayrak Share,18007.2,2018,20,
February,Albayrak Share,31639.05,2018,21,
February,Albayrak Share,30409.65,2018,22,
February,Albayrak Share,23724,2018,24,
February,Albayrak Share,23530.05,2018,25,
February,Albayrak Share,23077.35,2018,26,
February,Albayrak Share,30706.65,2018,27,
