Month,Service Revenue,Somali Share,Albayrak Share,Payables,Deductibles,Tax Revenue,Net Revenue,Mogadishu Port Gross Revenue
January,3952249.0181818176,2173736.96,1778512.0581818179,1757762.28,415974.67999999993,6237816,7995578.28,10190065.018181818
February,4215345.581818181,2318440.07,1896905.5118181815,1947780.18,370659.8899999999,5397290,7345070.18,9612635.581818182
March,4821072.0,2651589.6,2169482.4,2138344.03,513245.5700000003,9500089,11638433.03,14321161.0
April,4523886.763636364,2488137.72,2035749.0436363637,1833439.85,654697.8700000001,7761227,9594666.85,12285113.763636364
May,4605399.563636363,2532969.76,2072429.8036363632,2277429.23,255540.5299999998,8358357,10635786.23,12963756.563636363
June,4299430.745454545,2364686.91,1934743.8354545454,1948678.78,416008.1300000001,8358357,10307035.78,12657787.745454546
July,4723122.545454545,2597717.4,2125405.1454545455,2088427.77,509289.6299999999,8942675,11031102.77,13665797.545454545
August,4316368.181818182,2374002.5,1942365.6818181819,2012121.37,361881.1299999999,7240731,9252852.370000001,11557099.181818182
September,4523499.163636363,2487924.54,2035574.6236363635,2080618.35,407306.18999999994,8684360,10764978.35,13207859.163636364
October,5561436.2,3058789.91,2502646.29,2642750.93,416038.98,11096684,13739434.93,16658120.2
November,4169398.2909090905,2293169.06,1876229.2309090907,1984266.0,308903.06,8070777,10055043.0,12240175.290909091
December,5050973.672727272,2778035.52,2272938.1527272724,0.0,2778035.52,10978495,10978495.0,16029468.672727272
