Date,Total Revenue,Somali Share,Albayrak Share,Social Benefits,Month,Year,Day
2018-01-01,55051.17,30278.14,24773.03,275.26,January,2018,1
2018-01-02,581410.49,319775.77,261634.72,2907.05,January,2018,2
2018-01-03,191551.92,105353.56,86198.36,957.76,January,2018,3
2018-01-04,331578.88,182368.38,149210.5,1657.89,January,2018,4
2018-01-06,40840.0,22462.0,18378.0,204.2,January,2018,6
2018-01-07,134832.51,74157.88,60674.63,674.16,January,2018,7
2018-01-08,25126.0,13819.3,11306.7,125.63,January,2018,8
2018-01-09,216881.32,119284.73,97596.59,1084.41,January,2018,9
2018-01-10,433058.25,238182.04,194876.21,2165.29,January,2018,10
2018-01-11,20540.0,11297.0,9243.0,102.7,January,2018,11
2018-01-13,22198.0,12208.9,9989.1,110.99,January,2018,13
2018-01-14,24462.0,13454.1,11007.9,122.31,January,2018,14
2018-01-15,134717.0,74094.35,60622.65,673.59,January,2018,15
2018-01-16,25422.0,13982.1,11439.9,127.11,January,2018,16
2018-01-17,60427.0,33234.85,27192.15,302.14,January,2018,17
2018-01-18,316921.3,174306.72,142614.59,1584.61,January,2018,18
2018-01-20,334001.77,183700.97,150300.8,1670.01,January,2018,20
2018-01-21,43948.0,24171.4,19776.6,219.74,January,2018,21
2018-01-22,34215.0,18818.25,15396.75,171.08,January,2018,22
2018-01-23,45922.93,25257.61,20665.32,229.61,January,2018,23
2018-01-24,646923.02,355807.66,291115.36,3234.62,January,2018,24
2018-01-25,63816.0,35098.8,28717.2,319.08,January,2018,25
2018-01-27,43803.95,24092.17,19711.78,219.02,January,2018,27
2018-01-28,23415.0,12878.25,10536.75,117.08,January,2018,28
2018-01-29,18008.0,9904.4,8103.6,90.04,January,2018,29
2018-01-30,29668.0,16317.4,13350.6,148.34,January,2018,30
2018-01-31,53509.54,29430.25,24079.29,267.55,January,2018,31
2018-02-01,286220.94,157421.52,128799.42,1431.1,February,2018,1
2018-02-03,568356.11,312595.86,255760.25,2841.78,February,2018,3
2018-02-04,574350.54,315892.8,258457.74,2871.75,February,2018,4
2018-02-05,24626.0,13544.3,11081.7,123.13,February,2018,5
2018-02-06,31092.0,17100.6,13991.4,155.46,February,2018,6
2018-02-07,584741.08,321607.59,263133.49,2923.71,February,2018,7
2018-02-08,18356.0,10095.8,8260.2,91.78,February,2018,8
2018-02-10,21675.0,11921.25,9753.75,108.38,February,2018,10
